Elevation;Aspect;Slope;H_Hydrology;V_Hydrology;H_Ignition;Cover
2596;51;3;258;0;6279;Aspen
2590;56;2;212;-6;6225;Aspen
2804;139;9;268;65;6121;Lodgepole pine
2511;54;8;124;0;5569;Aspen
2507;22;9;120;14;5534;Aspen
2492;135;6;0;0;5494;Aspen
2489;163;10;30;-4;5486;Aspen
2962;148;16;323;23;3395;Lodgepole pine
2811;135;1;212;30;5643;Lodgepole pine
2739;117;24;127;53;6033;Aspen
2703;122;30;67;27;6123;Aspen
2522;105;7;120;1;5569;Aspen
2519;102;6;124;4;5559;Aspen
2516;23;6;150;4;5541;Aspen
2515;41;9;162;4;5532;Aspen
2900;45;19;242;20;4115;Lodgepole pine
2709;125;28;67;23;6094;Aspen
2511;92;7;182;18;5494;Aspen
2749;98;30;124;53;6005;Aspen
2686;354;12;0;0;6155;Aspen
2699;347;3;0;0;6853;Spruce/fir
2570;346;2;0;0;5745;Lodgepole pine
2533;71;9;150;-3;5552;Aspen
2703;330;27;30;17;6186;Aspen
2678;128;5;95;23;6546;Lodgepole pine
2529;68;8;210;-5;5484;Aspen
2524;94;7;212;-4;5474;Aspen
2536;99;6;234;0;5475;Aspen
2498;66;6;95;7;5357;Aspen
2489;100;7;85;13;5334;Aspen
2713;117;30;60;17;6039;Aspen
2739;323;25;85;43;6219;Spruce/fir
2696;72;2;30;0;6071;Spruce/fir
2510;79;14;192;19;5325;Aspen
2502;81;7;175;11;5316;Aspen
2722;315;24;30;19;6132;Spruce/fir
2500;74;11;190;9;5279;Aspen
2486;68;5;180;-4;5262;Aspen
2489;11;4;175;13;5254;Aspen
2489;42;6;162;13;5247;Aspen
2490;75;5;134;17;5218;Aspen
2952;107;11;42;7;3509;Lodgepole pine
2705;90;8;134;22;6615;Lodgepole pine
2507;40;7;153;10;5221;Aspen
2500;49;14;150;27;5205;Aspen
2493;63;10;127;20;5197;Aspen
2509;59;7;134;10;5184;Aspen
2919;13;13;90;6;4060;Spruce/fir
2740;54;6;218;42;6686;Lodgepole pine
2640;80;8;180;-2;5866;Lodgepole pine
2843;166;12;242;53;4956;Lodgepole pine
3008;45;14;277;10;3036;Lodgepole pine
2893;114;16;108;30;4340;Lodgepole pine
2850;6;9;0;0;4548;Lodgepole pine
2628;30;10;240;19;5645;Lodgepole pine
2864;118;18;201;74;4849;Lodgepole pine
2827;160;28;134;65;5474;Lodgepole pine
2529;326;5;30;14;5047;Lodgepole pine
2808;99;7;382;95;6341;Spruce/fir
2840;153;26;134;42;4833;Lodgepole pine
2795;79;10;531;96;6497;Spruce/fir
2746;143;16;67;22;6597;Lodgepole pine
2847;352;26;150;82;5796;Spruce/fir
2840;14;14;216;88;5944;Spruce/fir
2537;42;7;210;17;4919;Lodgepole pine
2860;358;17;175;98;5800;Spruce/fir
2818;332;26;30;17;4978;Lodgepole pine
2801;18;7;560;58;6457;Lodgepole pine
2791;63;10;418;48;6606;Lodgepole pine
2745;306;11;67;24;6428;Lodgepole pine
2514;102;6;272;-5;4811;Lodgepole pine
2788;13;16;30;8;5396;Lodgepole pine
2562;354;12;67;9;5031;Lodgepole pine
3073;173;12;108;-3;2735;Lodgepole pine
2978;71;10;426;85;3792;Lodgepole pine
2860;31;10;295;98;5904;Spruce/fir
3067;164;11;85;7;2774;Lodgepole pine
2804;72;5;543;61;6471;Lodgepole pine
2562;59;3;0;0;5091;Lodgepole pine
2567;34;9;190;16;4924;Lodgepole pine
2998;45;8;351;16;3721;Lodgepole pine
2684;84;12;150;2;5693;Lodgepole pine
2676;42;11;150;-5;5655;Lodgepole pine
2723;99;6;301;34;5793;Lodgepole pine
3070;0;11;30;-6;2858;Lodgepole pine
3057;124;12;150;53;3211;Lodgepole pine
2818;119;19;30;10;4497;Lodgepole pine
2847;320;33;85;39;4727;Lodgepole pine
2606;112;11;30;4;5106;Lodgepole pine
2893;83;6;551;101;5755;Lodgepole pine
2716;1;10;234;27;5581;Lodgepole pine
2644;125;20;67;25;5168;Lodgepole pine
2613;37;5;216;34;4818;Lodgepole pine
2929;356;12;0;0;4017;Lodgepole pine
2767;307;12;30;8;6192;Lodgepole pine
2991;49;13;85;0;3613;Spruce/fir
2939;56;18;95;20;4224;Lodgepole pine
2537;7;12;0;0;4509;Lodgepole pine
3119;119;7;162;10;2556;Lodgepole pine
2942;346;12;30;3;3900;Spruce/fir
2886;12;7;570;94;5518;Spruce/fir
2775;344;13;42;7;6177;Lodgepole pine
2490;79;9;240;13;4184;Lodgepole pine
3106;228;18;658;108;1655;Spruce/fir
2831;284;24;60;23;4611;Lodgepole pine
2837;112;8;272;16;6221;Lodgepole pine
2890;299;23;180;79;4734;Lodgepole pine
2824;135;5;218;6;6316;Lodgepole pine
2728;135;3;242;32;5515;Lodgepole pine
2962;88;16;190;23;3811;Spruce/fir
3142;220;11;424;69;1989;Lodgepole pine
2847;2;6;175;10;6194;Lodgepole pine
2536;34;5;242;16;4201;Lodgepole pine
3168;95;6;30;0;1239;Spruce/fir
2926;289;24;210;99;4814;Spruce/fir
2893;21;6;295;36;5865;Lodgepole pine
2687;20;11;150;39;4936;Lodgepole pine
3109;211;17;424;55;2017;Lodgepole pine
3119;200;20;60;0;2377;Lodgepole pine
2916;349;10;488;36;5502;Spruce/fir
2795;18;3;218;17;6073;Lodgepole pine
2555;58;14;285;19;4159;Lodgepole pine
2499;42;13;497;-7;3950;Lodgepole pine
3027;173;11;335;42;1900;Spruce/fir
3096;160;15;85;16;2310;Spruce/fir
2916;105;13;268;89;4417;Lodgepole pine
2591;42;12;350;22;4224;Lodgepole pine
3185;328;16;127;13;1392;Spruce/fir
3021;221;10;324;39;1937;Spruce/fir
3083;257;4;510;-25;2873;Lodgepole pine
2860;276;33;60;33;4759;Lodgepole pine
3008;196;15;228;20;1924;Lodgepole pine
3034;189;14;384;66;2012;Spruce/fir
2873;130;16;67;16;6091;Lodgepole pine
3182;49;13;319;7;1513;Spruce/fir
2998;102;12;384;158;4121;Lodgepole pine
2658;357;20;300;54;4286;Lodgepole pine
3175;15;7;366;92;1584;Spruce/fir
2952;8;7;488;125;5192;Spruce/fir
2622;95;12;484;39;4086;Lodgepole pine
2955;288;21;247;128;4968;Lodgepole pine
2837;66;9;201;23;6341;Lodgepole pine
3182;45;3;458;109;1661;Spruce/fir
3077;129;3;618;43;3261;Lodgepole pine
2755;320;4;30;-1;5468;Lodgepole pine
3047;28;11;600;13;3540;Spruce/fir
2880;86;12;30;3;5906;Lodgepole pine
3221;292;3;424;49;1710;Spruce/fir
3182;115;10;553;10;1768;Spruce/fir
3064;29;24;150;46;2148;Spruce/fir
2827;332;15;42;9;6067;Lodgepole pine
2518;107;5;360;39;3522;Lodgepole pine
3050;180;4;277;-3;2721;Spruce/fir
3107;356;12;283;89;2069;Spruce/fir
2995;173;15;268;135;4135;Lodgepole pine
2721;164;4;67;-2;4191;Lodgepole pine
3182;116;7;579;10;1854;Spruce/fir
2724;132;11;60;-2;4875;Lodgepole pine
2515;90;9;313;39;3451;Lodgepole pine
3017;46;22;212;52;2352;Spruce/fir
3077;256;4;618;210;3734;Lodgepole pine
2929;338;8;190;39;6106;Lodgepole pine
2735;127;12;67;6;4924;Lodgepole pine
2893;319;20;150;43;4667;Lodgepole pine
3231;45;4;648;59;1921;Spruce/fir
2560;89;10;218;34;3505;Lodgepole pine
3162;43;15;484;144;2188;Spruce/fir
2982;188;14;120;-2;2750;Spruce/fir
2731;66;5;0;0;4873;Lodgepole pine
3172;50;11;759;0;2037;Spruce/fir
2916;138;21;127;49;4206;Lodgepole pine
2890;63;17;153;35;5757;Lodgepole pine
2704;45;10;323;22;3734;Lodgepole pine
3198;23;18;604;180;2285;Spruce/fir
2985;214;5;342;63;3195;Lodgepole pine
3011;323;21;443;161;4910;Lodgepole pine
3024;312;18;474;177;4961;Lodgepole pine
2763;7;12;85;17;4788;Lodgepole pine
3244;56;16;618;76;2225;Spruce/fir
2955;9;10;85;10;2819;Spruce/fir
3201;10;13;984;180;2289;Spruce/fir
2972;36;25;30;0;2816;Spruce/fir
2985;167;13;458;66;3519;Lodgepole pine
2539;23;17;90;15;3115;Lodgepole pine
3001;260;8;720;134;3903;Lodgepole pine
2952;51;10;150;16;2960;Spruce/fir
2962;211;13;255;43;3337;Lodgepole pine
3004;0;12;484;85;5840;Spruce/fir
2727;45;4;124;21;4245;Lodgepole pine
3004;167;17;603;137;4031;Lodgepole pine
2886;22;8;285;31;5557;Lodgepole pine
3024;344;8;600;105;5764;Spruce/fir
3034;187;14;335;148;4921;Lodgepole pine
2903;279;13;190;26;5904;Lodgepole pine
2926;245;4;30;7;3331;Spruce/fir
2942;200;16;180;23;3470;Lodgepole pine
2991;54;13;495;65;6214;Lodgepole pine
2742;116;9;150;21;4314;Lodgepole pine
2606;356;18;67;26;3174;Lodgepole pine
3244;326;5;750;53;2460;Spruce/fir
3237;27;14;997;36;2506;Spruce/fir
2616;359;24;42;15;3186;Lodgepole pine
2913;16;11;457;58;5568;Lodgepole pine
2813;48;7;201;35;4729;Lodgepole pine
2530;149;1;319;51;2726;Lodgepole pine
3260;45;7;503;69;2531;Spruce/fir
3047;90;3;870;128;5635;Lodgepole pine
2955;60;20;201;33;3248;Spruce/fir
2893;77;13;85;7;4682;Lodgepole pine
2965;38;24;247;49;3315;Spruce/fir
3037;230;15;570;151;5238;Lodgepole pine
3027;152;10;792;108;5912;Lodgepole pine
2756;70;16;120;35;4210;Lodgepole pine
2939;325;6;510;62;5584;Lodgepole pine
3198;126;9;418;23;2858;Spruce/fir
3195;90;7;362;20;2880;Spruce/fir
2975;222;6;360;89;4519;Lodgepole pine
2890;84;13;30;4;4761;Lodgepole pine
3018;109;10;815;132;5486;Lodgepole pine
3011;85;5;842;85;5975;Lodgepole pine
3221;79;16;618;20;2868;Spruce/fir
3004;135;7;811;78;6017;Lodgepole pine
2572;49;20;384;53;2509;Lodgepole pine
3260;128;11;743;46;2854;Spruce/fir
3168;25;4;30;0;3180;Spruce/fir
2878;349;12;67;0;4924;Lodgepole pine
3198;9;8;301;23;3076;Spruce/fir
2975;260;8;391;66;5262;Lodgepole pine
3178;38;10;0;0;3248;Spruce/fir
2995;176;10;690;86;5533;Lodgepole pine
2913;144;8;210;20;4733;Lodgepole pine
2982;175;9;424;56;6500;Spruce/fir
2945;209;12;362;36;5354;Lodgepole pine
2995;143;2;631;23;6349;Spruce/fir
2942;0;3;0;0;6062;Lodgepole pine
2945;288;5;0;0;6034;Lodgepole pine
2959;288;8;120;14;5920;Lodgepole pine
2796;114;13;60;8;3934;Lodgepole pine
2785;315;2;60;-2;3829;Lodgepole pine
2784;325;17;153;33;3198;Lodgepole pine
2789;320;15;182;50;3174;Lodgepole pine
2922;162;19;240;22;4536;Lodgepole pine
3008;135;3;931;36;6096;Lodgepole pine
2978;73;10;323;49;6368;Lodgepole pine
2892;54;11;134;12;4457;Lodgepole pine
2521;45;10;42;2;2066;Lodgepole pine
2985;72;7;497;13;6482;Spruce/fir
3057;39;19;626;144;3955;Spruce/fir
2829;78;9;60;8;4187;Lodgepole pine
3201;331;5;0;0;3460;Spruce/fir
3136;329;13;789;-13;3798;Spruce/fir
2548;355;14;60;7;2058;Lodgepole pine
2962;89;9;42;3;6046;Lodgepole pine
2808;15;13;201;20;3651;Lodgepole pine
2749;87;12;516;43;2797;Lodgepole pine
3155;328;14;849;-19;3871;Spruce/fir
2991;285;11;849;98;6068;Lodgepole pine
2968;108;5;306;49;5265;Lodgepole pine
2932;77;13;108;21;5067;Lodgepole pine
2808;356;7;153;3;3757;Lodgepole pine
2794;106;4;210;37;3079;Spruce/fir
3080;24;17;659;167;4176;Spruce/fir
2936;52;16;180;27;4456;Spruce/fir
2913;261;10;313;10;5517;Lodgepole pine
2919;232;8;323;19;5539;Lodgepole pine
2978;257;6;85;13;5905;Lodgepole pine
2574;312;14;134;32;1924;Lodgepole pine
3142;59;21;730;-32;4070;Spruce/fir
2804;15;10;212;47;3031;Spruce/fir
2595;9;14;42;19;2010;Lodgepole pine
2929;232;8;366;33;5776;Lodgepole pine
3001;246;9;764;101;6227;Lodgepole pine
2813;94;7;371;56;2872;Lodgepole pine
2988;342;6;192;26;5836;Lodgepole pine
3175;59;18;612;0;4184;Spruce/fir
2861;0;6;134;10;3972;Lodgepole pine
2804;61;7;362;10;2825;Lodgepole pine
3001;78;10;335;29;6310;Spruce/fir
2914;141;9;277;18;4430;Lodgepole pine
2668;41;17;283;68;2240;Lodgepole pine
3185;129;12;481;10;4273;Spruce/fir
2913;216;9;268;20;5983;Spruce/fir
3168;72;5;418;-6;4394;Spruce/fir
2955;30;9;30;3;5370;Lodgepole pine
2932;100;7;30;-6;5166;Lodgepole pine
3234;0;11;658;26;4109;Spruce/fir
3201;53;7;488;26;4255;Spruce/fir
2903;236;5;212;10;6046;Spruce/fir
2874;352;2;400;19;3653;Lodgepole pine
2903;254;6;212;3;6195;Spruce/fir
2800;45;12;0;0;2958;Spruce/fir
3257;336;9;693;52;4246;Spruce/fir
3188;278;5;210;13;4526;Spruce/fir
2952;62;8;192;30;5251;Lodgepole pine
2932;237;16;342;36;6409;Spruce/fir
3050;281;4;630;85;6162;Lodgepole pine
2955;285;11;212;19;5057;Lodgepole pine
2791;41;17;458;-18;2294;Lodgepole pine
3172;162;3;180;7;4624;Spruce/fir
3116;69;14;297;-6;4802;Spruce/fir
2895;51;10;162;0;4002;Lodgepole pine
3182;122;6;134;7;4585;Spruce/fir
3024;81;9;218;49;5114;Lodgepole pine
2962;251;9;480;66;6356;Lodgepole pine
2978;27;4;192;13;5502;Lodgepole pine
2952;40;12;323;0;5268;Lodgepole pine
2945;348;13;255;32;4425;Lodgepole pine
3149;188;7;134;17;4831;Spruce/fir
2833;150;15;242;23;2407;Spruce/fir
3136;185;10;42;4;4858;Spruce/fir
2851;49;13;268;46;3037;Lodgepole pine
2933;111;8;300;20;4221;Lodgepole pine
2810;110;6;421;0;2178;Spruce/fir
3267;85;10;484;62;4518;Spruce/fir
3188;30;16;85;13;4753;Spruce/fir
2955;37;5;426;42;4475;Lodgepole pine
3001;276;9;752;103;6012;Lodgepole pine
3008;281;10;780;110;5998;Lodgepole pine
2942;28;5;391;29;4228;Lodgepole pine
2921;331;9;395;8;4024;Lodgepole pine
2985;315;5;361;20;5570;Lodgepole pine
2978;289;14;570;42;5007;Lodgepole pine
2889;51;20;362;66;3049;Lodgepole pine
2814;103;3;210;4;2316;Lodgepole pine
2938;127;9;408;107;3239;Lodgepole pine
2828;95;11;127;15;2714;Lodgepole pine
3146;95;12;240;-28;5052;Spruce/fir
2977;94;8;466;12;4676;Lodgepole pine
3034;45;2;680;46;5490;Lodgepole pine
3083;61;19;192;-9;5380;Spruce/fir
3044;23;5;210;-25;5476;Spruce/fir
2982;90;8;242;-35;5609;Spruce/fir
2901;176;15;256;49;3360;Lodgepole pine
2995;66;6;247;13;5126;Lodgepole pine
2528;151;6;108;4;390;Lodgepole pine
3188;112;8;60;3;5166;Spruce/fir
2939;243;24;400;41;5753;Lodgepole pine
3008;215;11;696;112;5600;Lodgepole pine
3021;238;9;815;125;5543;Lodgepole pine
2937;80;11;330;15;4354;Lodgepole pine
2844;317;10;67;20;2724;Lodgepole pine
2781;13;3;351;25;1707;Lodgepole pine
2945;252;18;421;47;5686;Lodgepole pine
2857;143;12;85;8;3161;Lodgepole pine
3021;53;7;258;-12;5720;Spruce/fir
2919;141;3;192;3;6047;Spruce/fir
2800;185;9;170;22;2001;Lodgepole pine
2773;151;18;350;119;983;Aspen
2759;144;17;300;105;895;Aspen
2714;117;20;242;93;779;Aspen
2671;109;26;175;55;664;Aspen
2975;126;9;120;3;4928;Lodgepole pine
2775;148;19;335;101;1061;Aspen
2746;149;18;268;92;912;Aspen
2743;148;19;255;89;883;Aspen
2717;108;16;201;79;794;Aspen
2751;136;14;277;77;967;Aspen
2739;131;14;242;75;908;Aspen
2733;133;16;228;79;878;Aspen
2716;117;15;175;62;789;Aspen
2611;99;14;30;2;495;Aspen
3073;123;11;0;0;5654;Spruce/fir
3060;167;18;95;16;5755;Lodgepole pine
2899;120;8;162;19;4034;Lodgepole pine
2861;107;8;30;0;3406;Lodgepole pine
2853;351;3;0;0;3287;Lodgepole pine
2785;202;8;134;18;1860;Lodgepole pine
2723;127;16;190;69;845;Aspen
2656;110;23;85;35;636;Aspen
3064;194;10;30;4;5721;Spruce/fir
3050;167;16;67;6;5783;Lodgepole pine
3004;141;13;124;3;5934;Lodgepole pine
2952;58;10;201;16;6078;Lodgepole pine
3034;68;12;362;43;5100;Spruce/fir
2703;130;20;127;49;780;Aspen
2685;128;23;95;31;722;Aspen
2661;119;25;67;23;663;Aspen
3057;101;4;0;0;5740;Spruce/fir
3050;139;13;30;-3;5770;Spruce/fir
3060;342;5;495;69;5139;Spruce/fir
2945;49;14;0;0;4737;Spruce/fir
2704;123;18;124;40;797;Aspen
2676;129;24;67;22;713;Aspen
2621;81;14;0;0;571;Aspen
3060;45;13;30;3;5768;Spruce/fir
2975;136;15;124;7;6039;Lodgepole pine
3067;21;4;518;76;5125;Spruce/fir
2719;128;16;150;45;874;Aspen
2638;86;15;0;0;618;Aspen
2700;115;19;67;26;779;Aspen
2673;108;22;42;9;721;Aspen
2654;71;11;0;0;664;Aspen
2664;50;12;0;0;684;Aspen
3050;80;8;360;59;4978;Spruce/fir
2858;125;8;268;7;3034;Lodgepole pine
2854;163;9;285;5;2974;Lodgepole pine
3047;56;11;95;29;5994;Spruce/fir
2873;351;6;201;11;3242;Lodgepole pine
2680;23;12;0;0;730;Aspen
2676;9;14;30;2;700;Aspen
2678;9;15;42;7;641;Aspen
2839;120;9;190;23;2612;Lodgepole pine
2792;86;7;228;4;2282;Lodgepole pine
3103;74;11;201;49;5920;Spruce/fir
2995;6;14;201;13;4670;Lodgepole pine
2702;90;1;0;0;932;Lodgepole pine
2991;282;8;268;32;4582;Spruce/fir
3004;31;6;180;13;4624;Lodgepole pine
2919;117;6;150;0;6349;Lodgepole pine
2945;258;14;376;45;5134;Lodgepole pine
3054;270;1;390;63;4830;Lodgepole pine
2978;75;5;295;50;4455;Spruce/fir
2915;81;8;0;0;4260;Lodgepole pine
2756;30;4;150;2;1770;Lodgepole pine
2717;155;4;0;0;1230;Lodgepole pine
2928;315;1;150;23;4050;Lodgepole pine
2770;95;3;258;7;2011;Lodgepole pine
2656;77;23;283;-23;518;Lodgepole pine
2750;124;5;150;9;1565;Lodgepole pine
2907;45;7;350;13;3783;Lodgepole pine
2781;65;13;42;6;2465;Lodgepole pine
2715;203;5;124;-1;1120;Lodgepole pine
2968;338;11;216;23;6508;Spruce/fir
2739;130;8;134;26;1366;Lodgepole pine
2922;129;3;218;18;4027;Lodgepole pine
2792;101;6;108;29;2442;Lodgepole pine
3064;90;8;371;23;6357;Spruce/fir
3041;243;14;513;50;4636;Lodgepole pine
2888;32;8;470;72;3164;Lodgepole pine
3080;180;1;247;39;6347;Spruce/fir
2613;132;27;170;55;558;Lodgepole pine
2978;135;4;108;13;6576;Spruce/fir
2952;353;12;0;0;4105;Spruce/fir
2773;81;14;108;24;2338;Lodgepole pine
3057;90;8;390;16;6452;Spruce/fir
3064;45;16;228;60;4361;Lodgepole pine
2742;174;9;268;23;1725;Lodgepole pine
2677;167;16;85;9;953;Lodgepole pine
2567;140;18;60;9;492;Lodgepole pine
2739;142;6;228;20;1761;Lodgepole pine
3001;267;14;641;101;4570;Lodgepole pine
3014;5;31;95;54;3973;Spruce/fir
2584;343;13;150;39;480;Lodgepole pine
2902;104;6;558;89;3107;Lodgepole pine
3047;155;9;424;85;6661;Spruce/fir
2909;212;6;212;50;3586;Lodgepole pine
2910;198;5;234;51;3556;Lodgepole pine
3011;108;10;212;36;6632;Spruce/fir
2998;68;8;124;23;6557;Spruce/fir
3011;263;12;674;111;4386;Lodgepole pine
3008;24;12;309;36;3950;Spruce/fir
3004;18;10;192;29;3899;Spruce/fir
3031;81;6;513;27;4002;Spruce/fir
2939;288;5;379;39;4506;Lodgepole pine
2949;277;12;437;49;4471;Lodgepole pine
3028;323;9;242;53;3771;Spruce/fir
2900;315;1;90;0;4667;Lodgepole pine
2932;96;7;247;17;5585;Lodgepole pine
2909;72;5;324;5;5006;Lodgepole pine
2909;0;3;350;5;4985;Lodgepole pine
2900;180;3;300;-2;4880;Lodgepole pine
2867;143;12;437;114;2963;Lodgepole pine
3047;356;10;618;75;3811;Spruce/fir
2617;15;14;30;0;1383;Lodgepole pine
2998;340;7;108;16;6224;Lodgepole pine
2962;276;7;497;47;5658;Lodgepole pine
2759;160;12;120;35;2462;Lodgepole pine
2646;9;33;60;9;1518;Lodgepole pine
3027;217;17;700;127;4011;Lodgepole pine
2963;121;13;175;0;3360;Lodgepole pine
2919;117;15;175;33;3311;Spruce/fir
2690;343;24;120;34;1645;Lodgepole pine
2660;3;9;297;60;1249;Lodgepole pine
2955;235;21;451;55;4074;Lodgepole pine
2953;120;13;134;3;3297;Lodgepole pine
2887;124;17;95;13;3273;Spruce/fir
3014;338;8;150;23;6169;Lodgepole pine
2995;62;11;484;17;5849;Spruce/fir
2965;142;6;0;0;3283;Spruce/fir
2982;47;9;437;-7;5641;Lodgepole pine
2739;311;10;270;80;1742;Lodgepole pine
2983;5;5;400;-6;5600;Lodgepole pine
2916;243;3;335;16;4030;Lodgepole pine
3047;135;3;932;141;3591;Spruce/fir
2751;270;2;0;0;2912;Spruce/fir
2690;318;7;514;78;1310;Lodgepole pine
2599;89;10;30;-1;1233;Lodgepole pine
2919;264;7;408;19;3945;Lodgepole pine
2975;253;12;616;59;3739;Lodgepole pine
2617;83;9;127;16;1290;Lodgepole pine
2574;92;7;0;0;1318;Lodgepole pine
2939;19;11;60;7;5016;Lodgepole pine
2915;45;10;60;0;3018;Spruce/fir
2765;41;5;0;0;3107;Spruce/fir
