Elevation,Aspect,Slope,H_Hydrology,V_Hydrology,H_Ignition,Cover
2596,51,3,258,0,6279,1
2590,56,2,212,-6,6225,1
2804,139,9,268,65,6121,2
2511,54,8,124,0,5569,1
2507,22,9,120,14,5534,1
2492,135,6,0,0,5494,1
2489,163,10,30,-4,5486,1
2962,148,16,323,23,3395,2
2811,135,1,212,30,5643,2
2739,117,24,127,53,6033,1
2703,122,30,67,27,6123,1
2522,105,7,120,1,5569,1
2519,102,6,124,4,5559,1
2516,23,6,150,4,5541,1
2515,41,9,162,4,5532,1
2900,45,19,242,20,4115,2
2709,125,28,67,23,6094,1
2511,92,7,182,18,5494,1
2749,98,30,124,53,6005,1
2686,354,12,0,0,6155,1
2699,347,3,0,0,6853,3
2570,346,2,0,0,5745,2
2533,71,9,150,-3,5552,1
2703,330,27,30,17,6186,1
2678,128,5,95,23,6546,2
2529,68,8,210,-5,5484,1
2524,94,7,212,-4,5474,1
2536,99,6,234,0,5475,1
2498,66,6,95,7,5357,1
2489,100,7,85,13,5334,1
2713,117,30,60,17,6039,1
2739,323,25,85,43,6219,3
2696,72,2,30,0,6071,3
2510,79,14,192,19,5325,1
2502,81,7,175,11,5316,1
2722,315,24,30,19,6132,3
2500,74,11,190,9,5279,1
2486,68,5,180,-4,5262,1
2489,11,4,175,13,5254,1
2489,42,6,162,13,5247,1
2490,75,5,134,17,5218,1
2952,107,11,42,7,3509,2
2705,90,8,134,22,6615,2
2507,40,7,153,10,5221,1
2500,49,14,150,27,5205,1
2493,63,10,127,20,5197,1
2509,59,7,134,10,5184,1
2919,13,13,90,6,4060,3
2740,54,6,218,42,6686,2
2640,80,8,180,-2,5866,2
2843,166,12,242,53,4956,2
3008,45,14,277,10,3036,2
2893,114,16,108,30,4340,2
2850,6,9,0,0,4548,2
2628,30,10,240,19,5645,2
2864,118,18,201,74,4849,2
2827,160,28,134,65,5474,2
2529,326,5,30,14,5047,2
2808,99,7,382,95,6341,3
2840,153,26,134,42,4833,2
2795,79,10,531,96,6497,3
2746,143,16,67,22,6597,2
2847,352,26,150,82,5796,3
2840,14,14,216,88,5944,3
2537,42,7,210,17,4919,2
2860,358,17,175,98,5800,3
2818,332,26,30,17,4978,2
2801,18,7,560,58,6457,2
2791,63,10,418,48,6606,2
2745,306,11,67,24,6428,2
2514,102,6,272,-5,4811,2
2788,13,16,30,8,5396,2
2562,354,12,67,9,5031,2
3073,173,12,108,-3,2735,2
2978,71,10,426,85,3792,2
2860,31,10,295,98,5904,3
3067,164,11,85,7,2774,2
2804,72,5,543,61,6471,2
2562,59,3,0,0,5091,2
2567,34,9,190,16,4924,2
2998,45,8,351,16,3721,2
2684,84,12,150,2,5693,2
2676,42,11,150,-5,5655,2
2723,99,6,301,34,5793,2
3070,0,11,30,-6,2858,2
3057,124,12,150,53,3211,2
2818,119,19,30,10,4497,2
2847,320,33,85,39,4727,2
2606,112,11,30,4,5106,2
2893,83,6,551,101,5755,2
2716,1,10,234,27,5581,2
2644,125,20,67,25,5168,2
2613,37,5,216,34,4818,2
2929,356,12,0,0,4017,2
2767,307,12,30,8,6192,2
2991,49,13,85,0,3613,3
2939,56,18,95,20,4224,2
2537,7,12,0,0,4509,2
3119,119,7,162,10,2556,2
2942,346,12,30,3,3900,3
2886,12,7,570,94,5518,3
2775,344,13,42,7,6177,2
2490,79,9,240,13,4184,2
3106,228,18,658,108,1655,3
2831,284,24,60,23,4611,2
2837,112,8,272,16,6221,2
2890,299,23,180,79,4734,2
2824,135,5,218,6,6316,2
2728,135,3,242,32,5515,2
2962,88,16,190,23,3811,3
3142,220,11,424,69,1989,2
2847,2,6,175,10,6194,2
2536,34,5,242,16,4201,2
3168,95,6,30,0,1239,3
2926,289,24,210,99,4814,3
2893,21,6,295,36,5865,2
2687,20,11,150,39,4936,2
3109,211,17,424,55,2017,2
3119,200,20,60,0,2377,2
2916,349,10,488,36,5502,3
2795,18,3,218,17,6073,2
2555,58,14,285,19,4159,2
2499,42,13,497,-7,3950,2
3027,173,11,335,42,1900,3
3096,160,15,85,16,2310,3
2916,105,13,268,89,4417,2
2591,42,12,350,22,4224,2
3185,328,16,127,13,1392,3
3021,221,10,324,39,1937,3
3083,257,4,510,-25,2873,2
2860,276,33,60,33,4759,2
3008,196,15,228,20,1924,2
3034,189,14,384,66,2012,3
2873,130,16,67,16,6091,2
3182,49,13,319,7,1513,3
2998,102,12,384,158,4121,2
2658,357,20,300,54,4286,2
3175,15,7,366,92,1584,3
2952,8,7,488,125,5192,3
2622,95,12,484,39,4086,2
2955,288,21,247,128,4968,2
2837,66,9,201,23,6341,2
3182,45,3,458,109,1661,3
3077,129,3,618,43,3261,2
2755,320,4,30,-1,5468,2
3047,28,11,600,13,3540,3
2880,86,12,30,3,5906,2
3221,292,3,424,49,1710,3
3182,115,10,553,10,1768,3
3064,29,24,150,46,2148,3
2827,332,15,42,9,6067,2
2518,107,5,360,39,3522,2
3050,180,4,277,-3,2721,3
3107,356,12,283,89,2069,3
2995,173,15,268,135,4135,2
2721,164,4,67,-2,4191,2
3182,116,7,579,10,1854,3
2724,132,11,60,-2,4875,2
2515,90,9,313,39,3451,2
3017,46,22,212,52,2352,3
3077,256,4,618,210,3734,2
2929,338,8,190,39,6106,2
2735,127,12,67,6,4924,2
2893,319,20,150,43,4667,2
3231,45,4,648,59,1921,3
2560,89,10,218,34,3505,2
3162,43,15,484,144,2188,3
2982,188,14,120,-2,2750,3
2731,66,5,0,0,4873,2
3172,50,11,759,0,2037,3
2916,138,21,127,49,4206,2
2890,63,17,153,35,5757,2
2704,45,10,323,22,3734,2
3198,23,18,604,180,2285,3
2985,214,5,342,63,3195,2
3011,323,21,443,161,4910,2
3024,312,18,474,177,4961,2
2763,7,12,85,17,4788,2
3244,56,16,618,76,2225,3
2955,9,10,85,10,2819,3
3201,10,13,984,180,2289,3
2972,36,25,30,0,2816,3
2985,167,13,458,66,3519,2
2539,23,17,90,15,3115,2
3001,260,8,720,134,3903,2
2952,51,10,150,16,2960,3
2962,211,13,255,43,3337,2
3004,0,12,484,85,5840,3
2727,45,4,124,21,4245,2
3004,167,17,603,137,4031,2
2886,22,8,285,31,5557,2
3024,344,8,600,105,5764,3
3034,187,14,335,148,4921,2
2903,279,13,190,26,5904,2
2926,245,4,30,7,3331,3
2942,200,16,180,23,3470,2
2991,54,13,495,65,6214,2
2742,116,9,150,21,4314,2
2606,356,18,67,26,3174,2
3244,326,5,750,53,2460,3
3237,27,14,997,36,2506,3
2616,359,24,42,15,3186,2
2913,16,11,457,58,5568,2
2813,48,7,201,35,4729,2
2530,149,1,319,51,2726,2
3260,45,7,503,69,2531,3
3047,90,3,870,128,5635,2
2955,60,20,201,33,3248,3
2893,77,13,85,7,4682,2
2965,38,24,247,49,3315,3
3037,230,15,570,151,5238,2
3027,152,10,792,108,5912,2
2756,70,16,120,35,4210,2
2939,325,6,510,62,5584,2
3198,126,9,418,23,2858,3
3195,90,7,362,20,2880,3
2975,222,6,360,89,4519,2
2890,84,13,30,4,4761,2
3018,109,10,815,132,5486,2
3011,85,5,842,85,5975,2
3221,79,16,618,20,2868,3
3004,135,7,811,78,6017,2
2572,49,20,384,53,2509,2
3260,128,11,743,46,2854,3
3168,25,4,30,0,3180,3
2878,349,12,67,0,4924,2
3198,9,8,301,23,3076,3
2975,260,8,391,66,5262,2
3178,38,10,0,0,3248,3
2995,176,10,690,86,5533,2
2913,144,8,210,20,4733,2
2982,175,9,424,56,6500,3
2945,209,12,362,36,5354,2
2995,143,2,631,23,6349,3
2942,0,3,0,0,6062,2
2945,288,5,0,0,6034,2
2959,288,8,120,14,5920,2
2796,114,13,60,8,3934,2
2785,315,2,60,-2,3829,2
2784,325,17,153,33,3198,2
2789,320,15,182,50,3174,2
2922,162,19,240,22,4536,2
3008,135,3,931,36,6096,2
2978,73,10,323,49,6368,2
2892,54,11,134,12,4457,2
2521,45,10,42,2,2066,2
2985,72,7,497,13,6482,3
3057,39,19,626,144,3955,3
2829,78,9,60,8,4187,2
3201,331,5,0,0,3460,3
3136,329,13,789,-13,3798,3
2548,355,14,60,7,2058,2
2962,89,9,42,3,6046,2
2808,15,13,201,20,3651,2
2749,87,12,516,43,2797,2
3155,328,14,849,-19,3871,3
2991,285,11,849,98,6068,2
2968,108,5,306,49,5265,2
2932,77,13,108,21,5067,2
2808,356,7,153,3,3757,2
2794,106,4,210,37,3079,3
3080,24,17,659,167,4176,3
2936,52,16,180,27,4456,3
2913,261,10,313,10,5517,2
2919,232,8,323,19,5539,2
2978,257,6,85,13,5905,2
2574,312,14,134,32,1924,2
3142,59,21,730,-32,4070,3
2804,15,10,212,47,3031,3
2595,9,14,42,19,2010,2
2929,232,8,366,33,5776,2
3001,246,9,764,101,6227,2
2813,94,7,371,56,2872,2
2988,342,6,192,26,5836,2
3175,59,18,612,0,4184,3
2861,0,6,134,10,3972,2
2804,61,7,362,10,2825,2
3001,78,10,335,29,6310,3
2914,141,9,277,18,4430,2
2668,41,17,283,68,2240,2
3185,129,12,481,10,4273,3
2913,216,9,268,20,5983,3
3168,72,5,418,-6,4394,3
2955,30,9,30,3,5370,2
2932,100,7,30,-6,5166,2
3234,0,11,658,26,4109,3
3201,53,7,488,26,4255,3
2903,236,5,212,10,6046,3
2874,352,2,400,19,3653,2
2903,254,6,212,3,6195,3
2800,45,12,0,0,2958,3
3257,336,9,693,52,4246,3
3188,278,5,210,13,4526,3
2952,62,8,192,30,5251,2
2932,237,16,342,36,6409,3
3050,281,4,630,85,6162,2
2955,285,11,212,19,5057,2
2791,41,17,458,-18,2294,2
3172,162,3,180,7,4624,3
3116,69,14,297,-6,4802,3
2895,51,10,162,0,4002,2
3182,122,6,134,7,4585,3
3024,81,9,218,49,5114,2
2962,251,9,480,66,6356,2
2978,27,4,192,13,5502,2
2952,40,12,323,0,5268,2
2945,348,13,255,32,4425,2
3149,188,7,134,17,4831,3
2833,150,15,242,23,2407,3
3136,185,10,42,4,4858,3
2851,49,13,268,46,3037,2
2933,111,8,300,20,4221,2
2810,110,6,421,0,2178,3
3267,85,10,484,62,4518,3
3188,30,16,85,13,4753,3
2955,37,5,426,42,4475,2
3001,276,9,752,103,6012,2
3008,281,10,780,110,5998,2
2942,28,5,391,29,4228,2
2921,331,9,395,8,4024,2
2985,315,5,361,20,5570,2
2978,289,14,570,42,5007,2
2889,51,20,362,66,3049,2
2814,103,3,210,4,2316,2
2938,127,9,408,107,3239,2
2828,95,11,127,15,2714,2
3146,95,12,240,-28,5052,3
2977,94,8,466,12,4676,2
3034,45,2,680,46,5490,2
3083,61,19,192,-9,5380,3
3044,23,5,210,-25,5476,3
2982,90,8,242,-35,5609,3
2901,176,15,256,49,3360,2
2995,66,6,247,13,5126,2
2528,151,6,108,4,390,2
3188,112,8,60,3,5166,3
2939,243,24,400,41,5753,2
3008,215,11,696,112,5600,2
3021,238,9,815,125,5543,2
2937,80,11,330,15,4354,2
2844,317,10,67,20,2724,2
2781,13,3,351,25,1707,2
2945,252,18,421,47,5686,2
2857,143,12,85,8,3161,2
3021,53,7,258,-12,5720,3
2919,141,3,192,3,6047,3
2800,185,9,170,22,2001,2
2773,151,18,350,119,983,1
2759,144,17,300,105,895,1
2714,117,20,242,93,779,1
2671,109,26,175,55,664,1
2975,126,9,120,3,4928,2
2775,148,19,335,101,1061,1
2746,149,18,268,92,912,1
2743,148,19,255,89,883,1
2717,108,16,201,79,794,1
2751,136,14,277,77,967,1
2739,131,14,242,75,908,1
2733,133,16,228,79,878,1
2716,117,15,175,62,789,1
2611,99,14,30,2,495,1
3073,123,11,0,0,5654,3
3060,167,18,95,16,5755,2
2899,120,8,162,19,4034,2
2861,107,8,30,0,3406,2
2853,351,3,0,0,3287,2
2785,202,8,134,18,1860,2
2723,127,16,190,69,845,1
2656,110,23,85,35,636,1
3064,194,10,30,4,5721,3
3050,167,16,67,6,5783,2
3004,141,13,124,3,5934,2
2952,58,10,201,16,6078,2
3034,68,12,362,43,5100,3
2703,130,20,127,49,780,1
2685,128,23,95,31,722,1
2661,119,25,67,23,663,1
3057,101,4,0,0,5740,3
3050,139,13,30,-3,5770,3
3060,342,5,495,69,5139,3
2945,49,14,0,0,4737,3
2704,123,18,124,40,797,1
2676,129,24,67,22,713,1
2621,81,14,0,0,571,1
3060,45,13,30,3,5768,3
2975,136,15,124,7,6039,2
3067,21,4,518,76,5125,3
2719,128,16,150,45,874,1
2638,86,15,0,0,618,1
2700,115,19,67,26,779,1
2673,108,22,42,9,721,1
2654,71,11,0,0,664,1
2664,50,12,0,0,684,1
3050,80,8,360,59,4978,3
2858,125,8,268,7,3034,2
2854,163,9,285,5,2974,2
3047,56,11,95,29,5994,3
2873,351,6,201,11,3242,2
2680,23,12,0,0,730,1
2676,9,14,30,2,700,1
2678,9,15,42,7,641,1
2839,120,9,190,23,2612,2
2792,86,7,228,4,2282,2
3103,74,11,201,49,5920,3
2995,6,14,201,13,4670,2
2702,90,1,0,0,932,2
2991,282,8,268,32,4582,3
3004,31,6,180,13,4624,2
2919,117,6,150,0,6349,2
2945,258,14,376,45,5134,2
3054,270,1,390,63,4830,2
2978,75,5,295,50,4455,3
2915,81,8,0,0,4260,2
2756,30,4,150,2,1770,2
2717,155,4,0,0,1230,2
2928,315,1,150,23,4050,2
2770,95,3,258,7,2011,2
2656,77,23,283,-23,518,2
2750,124,5,150,9,1565,2
2907,45,7,350,13,3783,2
2781,65,13,42,6,2465,2
2715,203,5,124,-1,1120,2
2968,338,11,216,23,6508,3
2739,130,8,134,26,1366,2
2922,129,3,218,18,4027,2
2792,101,6,108,29,2442,2
3064,90,8,371,23,6357,3
3041,243,14,513,50,4636,2
2888,32,8,470,72,3164,2
3080,180,1,247,39,6347,3
2613,132,27,170,55,558,2
2978,135,4,108,13,6576,3
2952,353,12,0,0,4105,3
2773,81,14,108,24,2338,2
3057,90,8,390,16,6452,3
3064,45,16,228,60,4361,2
2742,174,9,268,23,1725,2
2677,167,16,85,9,953,2
2567,140,18,60,9,492,2
2739,142,6,228,20,1761,2
3001,267,14,641,101,4570,2
3014,5,31,95,54,3973,3
2584,343,13,150,39,480,2
2902,104,6,558,89,3107,2
3047,155,9,424,85,6661,3
2909,212,6,212,50,3586,2
2910,198,5,234,51,3556,2
3011,108,10,212,36,6632,3
2998,68,8,124,23,6557,3
3011,263,12,674,111,4386,2
3008,24,12,309,36,3950,3
3004,18,10,192,29,3899,3
3031,81,6,513,27,4002,3
2939,288,5,379,39,4506,2
2949,277,12,437,49,4471,2
3028,323,9,242,53,3771,3
2900,315,1,90,0,4667,2
2932,96,7,247,17,5585,2
2909,72,5,324,5,5006,2
2909,0,3,350,5,4985,2
2900,180,3,300,-2,4880,2
2867,143,12,437,114,2963,2
3047,356,10,618,75,3811,3
2617,15,14,30,0,1383,2
2998,340,7,108,16,6224,2
2962,276,7,497,47,5658,2
2759,160,12,120,35,2462,2
2646,9,33,60,9,1518,2
3027,217,17,700,127,4011,2
2963,121,13,175,0,3360,2
2919,117,15,175,33,3311,3
2690,343,24,120,34,1645,2
2660,3,9,297,60,1249,2
2955,235,21,451,55,4074,2
2953,120,13,134,3,3297,2
2887,124,17,95,13,3273,3
3014,338,8,150,23,6169,2
2995,62,11,484,17,5849,3
2965,142,6,0,0,3283,3
2982,47,9,437,-7,5641,2
2739,311,10,270,80,1742,2
2983,5,5,400,-6,5600,2
2916,243,3,335,16,4030,2
3047,135,3,932,141,3591,3
2751,270,2,0,0,2912,3
2690,318,7,514,78,1310,2
2599,89,10,30,-1,1233,2
2919,264,7,408,19,3945,2
2975,253,12,616,59,3739,2
2617,83,9,127,16,1290,2
2574,92,7,0,0,1318,2
2939,19,11,60,7,5016,2
2915,45,10,60,0,3018,3
2765,41,5,0,0,3107,3
2784,348,13,170,37,2687,2
2850,108,22,42,14,2971,3
2919,236,7,350,16,3853,2
2995,233,14,638,89,3487,2
2817,32,15,390,74,2613,2
2932,18,2,485,13,4597,2
2826,11,7,366,73,2704,2
2795,47,10,451,95,2389,2
2760,62,5,547,66,2079,2
2700,76,9,433,-15,1691,2
3001,238,9,592,92,3379,2
2699,165,3,390,2,1670,2
2730,79,6,270,14,1883,2
2655,82,8,384,104,1634,2
2644,46,14,319,93,1624,2
2998,252,12,553,89,3271,2
2854,28,8,446,99,2912,2
2809,63,8,458,36,2486,2
2633,94,19,258,82,1651,2
2588,152,10,182,47,1654,2
2811,84,10,433,38,2506,2
2926,208,15,300,20,3446,2
2839,71,14,488,66,2616,2
2689,179,11,210,2,1851,2
3015,66,19,335,22,4847,2
2995,62,14,362,5,4795,2
2938,159,7,285,22,2656,2
2929,130,8,150,17,2590,2
2851,107,11,458,78,2698,2
2949,122,14,379,28,2714,2
2596,33,14,335,66,1321,2
2939,45,8,306,26,4080,2
2805,44,17,170,32,2436,2
3074,52,9,42,4,5353,3
2932,54,16,283,119,2418,2
2868,29,20,95,33,2468,3
2864,128,8,451,63,2713,2
2946,352,14,170,35,2352,2
3021,25,12,564,21,4662,3
3018,49,14,631,22,4569,2
2863,193,6,390,62,2577,2
2978,156,6,524,61,2688,2
2945,63,12,324,110,2278,2
2618,7,18,170,47,1866,2
2968,120,9,365,51,2557,2
2734,93,5,277,16,2445,2
2728,83,11,277,19,2416,2
2762,190,5,30,-3,2647,2
2922,270,5,120,9,3582,2
2926,61,11,90,9,2375,2
2962,346,6,518,45,2514,2
2624,183,27,60,22,2374,2
2917,107,5,210,33,2125,2
2644,345,3,85,-4,1426,2
2645,45,4,134,-3,1368,2
3024,24,16,297,26,4161,3
2651,40,14,242,4,1783,2
2936,231,7,285,30,2571,2
2813,127,14,60,12,2313,1
2617,344,19,30,6,2506,2
2952,281,5,212,33,2022,2
2968,286,17,283,41,1992,2
2992,228,6,458,79,1919,2
2976,124,9,277,39,1891,2
2796,131,9,0,0,2323,1
2955,311,9,421,49,2428,2
2917,175,13,30,0,1907,3
2821,72,20,90,20,2247,1
2794,179,20,124,29,2408,2
2661,266,4,67,4,1499,2
2793,119,17,30,-2,2274,1
2976,315,19,319,58,1917,2
2807,115,21,85,11,2215,1
3109,87,13,446,16,4669,2
3109,53,7,362,42,4310,3
2792,109,19,67,8,2208,1
2775,121,16,30,-3,2244,1
3113,14,13,376,23,4380,3
2919,341,9,467,3,3187,3
2757,129,12,0,0,2259,1
2952,41,14,335,13,3375,3
2764,91,15,42,7,2216,1
2753,109,19,60,-3,2213,1
2744,122,19,30,1,2232,1
2736,138,18,0,0,2252,1
2954,156,10,301,79,1657,2
2662,138,23,30,8,2588,2
2988,69,14,228,3,3596,2
2965,72,14,361,6,3383,2
2663,118,21,30,11,2546,2
2600,64,10,247,33,1195,2
2942,71,16,499,3,3211,3
2718,90,18,30,-2,2207,1
2695,168,19,30,-1,2291,1
2669,31,3,342,17,1559,2
2753,103,20,108,24,2123,1
2721,101,18,42,13,2185,1
2686,142,10,0,0,2293,1
2676,119,5,0,0,2352,1
2610,135,6,272,13,1256,2
2706,137,18,60,-1,2185,1
2709,323,24,127,59,2563,2
2676,66,3,391,24,1745,2
3201,70,8,331,59,5058,3
2688,120,7,30,3,2227,1
2685,11,2,30,4,2241,1
2684,347,6,0,0,2215,1
2714,329,25,127,45,2479,2
2766,38,5,85,-3,2800,1
2695,101,10,0,0,2101,1
2690,35,6,0,0,2123,1
2769,7,9,67,0,2780,1
2795,126,24,153,23,1740,2
2740,332,27,175,70,2432,2
3009,238,7,446,42,1631,2
2964,84,19,124,32,1434,2
2783,332,30,255,114,2467,2
2781,56,9,190,5,2630,1
2775,40,8,134,0,2673,1
2781,39,3,60,11,2739,1
2593,7,8,85,-5,1279,2
3149,120,13,150,33,4269,3
3044,345,5,342,20,3538,3
2919,76,4,228,6,2754,3
2786,52,11,182,10,2609,1
2780,13,8,124,4,2652,1
2780,350,9,95,4,2674,1
2872,79,9,0,0,1323,2
2796,27,2,240,20,2546,1
2790,54,10,180,14,2588,1
2769,107,11,95,12,2869,2
2719,48,7,361,33,2177,2
2763,357,23,201,66,2032,2
3011,73,9,659,7,3215,2
2955,65,13,481,42,2967,3
3149,135,7,67,7,4310,3
2808,112,9,0,0,1230,2
2811,352,13,228,35,2464,2
3205,60,5,570,63,4817,3
2892,48,23,150,51,1140,2
2922,293,14,283,6,2218,2
2828,352,23,424,143,2086,2
2598,327,7,30,0,1482,2
2972,348,10,402,7,2880,3
2834,348,26,430,139,2005,2
2810,42,14,300,64,2620,2
2684,141,17,30,-1,2047,1
2613,39,9,42,4,1626,2
2647,234,2,323,18,1299,2
2667,95,9,541,13,1293,2
2942,305,8,379,13,2110,2
2971,340,15,85,18,1131,2
2822,308,5,234,66,2765,2
2661,60,11,30,-6,1996,1
2687,338,10,437,34,1350,2
3103,85,8,524,-5,3589,3
3034,50,22,531,16,3131,2
2682,28,19,60,6,2060,1
2876,343,22,532,181,1894,2
2802,358,6,433,50,2630,2
2958,39,25,351,134,932,2
2890,20,16,430,182,1723,2
2707,5,18,42,6,2190,1
2706,9,21,108,14,2123,1
2702,27,22,120,21,2101,1
2686,29,23,95,36,2036,2
2727,52,17,0,0,2278,1
2720,36,17,30,0,2255,1
2733,44,13,30,-1,2297,1
2724,349,15,67,4,2252,1
2619,13,4,42,3,1691,2
3195,83,11,366,53,4401,3
3139,106,6,531,13,3690,3
2929,44,16,591,65,1911,2
2849,293,22,120,44,2646,2
2733,90,5,60,-1,2315,1
2803,333,20,182,56,1124,2
2931,4,12,579,215,1621,2
2871,82,14,228,47,2271,2
2737,99,13,30,-5,2357,1
2730,135,1,60,-9,2335,1
2653,332,13,190,43,1722,2
2655,21,13,741,45,1652,2
2659,332,13,201,43,1749,2
2665,0,10,190,32,1728,2
2871,92,32,218,97,792,2
2988,217,7,446,72,1437,2
2920,316,29,433,186,1265,2
2718,63,17,242,78,2082,2
2682,66,8,547,15,1702,2
2662,324,6,616,52,1765,2
3096,49,14,242,26,2984,2
2975,38,11,633,245,1381,2
2653,93,12,511,43,1833,2
2876,314,26,295,121,1074,2
2969,35,4,531,99,1679,2
2662,119,10,531,52,1841,2
2919,108,7,85,3,1841,2
2738,270,12,30,7,2461,1
2673,27,23,30,11,1800,2
2696,276,11,120,29,1776,2
2694,56,14,480,27,1782,2
3024,56,17,67,6,2584,2
2986,174,18,234,17,644,2
2860,332,5,485,105,2905,2
2690,40,11,495,-20,1820,2
2987,169,17,390,43,547,2
2787,96,17,218,32,2718,2
2934,299,25,418,171,1044,2
2712,304,7,190,45,1862,2
2954,160,13,390,51,1608,2
2750,68,7,30,1,2631,1
3044,57,16,108,-5,2589,2
2719,52,10,371,8,1935,3
2764,76,7,323,32,2372,2
3034,61,17,212,-9,2491,2
2753,230,14,175,40,2315,2
